,date,countyInfectionsNumbers,jud,lat,long,population
0,2020-05-18,267,Alba,46.066666999999995,23.583333,66085
1,2020-05-18,696,Arad,46.183333000000005,21.316667000000002,169065
2,2020-05-18,214,Arges,44.85,24.866667,171021
3,2020-05-18,445,Bac?u,46.566666999999995,26.916025,199668
4,2020-05-18,508,Bihor,47.066666999999995,21.933332999999998,213830
5,2020-05-18,301,Bistri?a-N?s?ud,47.133333,24.483333,81318
6,2020-05-18,664,Botoºani,47.75,26.666666999999997,114783
7,2020-05-18,20,Br?ila,45.266667,27.983333000000002,213569
8,2020-05-18,627,Braºov,45.633333,25.583333,311044
9,2020-05-18,1644,Bucuresti,44.433333000000005,26.1,1942000
10,2020-05-18,122,Buz?u,45.15,26.833333000000003,130954
11,2020-05-18,74,C?l?raºi,44.2,27.333333000000003,73224
12,2020-05-18,110,Caraº-Severin,45.300833000000004,21.889167,83324
13,2020-05-18,526,Cluj,46.766667,23.6,316748
14,2020-05-18,260,Constan?a,44.183333000000005,28.65,303399
15,2020-05-18,228,Covasna,45.866667,25.783333,60677
16,2020-05-18,166,Dolj,44.316666999999995,23.8,304142
17,2020-05-18,236,Dâmbovi?a,44.933333000000005,25.45,88435
18,2020-05-18,542,Gala?i,45.45,28.05,311156
19,2020-05-18,205,Giurgiu,43.883333,25.966667,69067
20,2020-05-18,94,Gorj,45.05,23.283333,97179
21,2020-05-18,65,Harghita,46.35,25.8,45234
22,2020-05-18,616,Hunedoara,45.75,22.9,54251
23,2020-05-18,332,Ialomi?a,44.566666999999995,27.366667,52693
24,2020-05-18,367,Iaºi,47.166667,27.6,325914
25,2020-05-18,82,Maramureº,47.666667,23.583333,136553
26,2020-05-18,92,Mehedin?i,44.631944,22.656111,106578
27,2020-05-18,655,Mureº,46.55,24.566667000000002,149433
28,2020-05-18,834,Neam?,46.916667,26.365815,102688
29,2020-05-18,53,Olt,44.433333000000005,24.366667,78988
30,2020-05-18,80,Prahova,44.95,26.016667,232542
31,2020-05-18,75,S?laj,47.2,23.05,63232
32,2020-05-18,57,Satu Mare,47.8,22.883333,112490
33,2020-05-18,457,Sibiu,45.8,24.15,155565
34,2020-05-18,3448,Suceava,47.65,26.233333000000002,105796
35,2020-05-18,116,Teleorman,43.983333,25.333333,49346
36,2020-05-18,494,Timiº,45.749444,21.227222,315053
37,2020-05-18,108,Tulcea,45.166667,28.8,92475
38,2020-05-18,150,Vaslui,46.633333,27.733333000000002,69225
39,2020-05-18,515,Vrancea,45.7,27.183333,105112
40,2020-05-18,27,Vâlcea,45.1,24.366667,107558
